Player,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ESI
Shai Gilgeous-Alexander,30.7,0.637,34.8,11.9,4.8,16.7,0.309,8.9,2.6,11.5,8.9,42.24
Giannis Antetokounmpo,30.5,0.625,35.2,7.8,3.7,11.5,0.241,6.9,2.5,9.5,6.6,41.98
Nikola Jokic,32.0,0.663,29.5,12.7,3.8,16.4,0.307,9.9,3.3,13.3,9.8,41.29
Zion Williamson,27.3,0.6,34.7,1.9,0.6,2.5,0.141,5.9,1.0,7.0,1.9,40.07
Luka Doncic,24.1,0.587,33.9,3.5,2.4,5.9,0.16,5.5,1.2,6.7,3.9,38.4
Joel Embiid,23.4,0.58,34.2,0.9,0.5,1.4,0.118,3.7,-0.3,3.5,0.8,38.1
Anthony Davis,26.3,0.588,30.4,3.7,3.0,6.7,0.188,3.9,1.5,5.4,3.2,37.69
Victor Wembanyama,24.2,0.594,30.4,1.0,2.8,3.8,0.118,3.6,2.9,6.5,3.3,37.24
Kevin Durant,21.2,0.642,28.7,4.0,1.2,5.2,0.111,3.9,-0.7,3.2,3.0,37.1
LeBron James,22.7,0.604,30.1,4.9,2.8,7.7,0.152,4.9,0.7,5.6,4.7,36.97
Stephen Curry,21.5,0.618,29.8,5.2,2.7,7.9,0.168,6.4,0.0,6.3,4.8,36.91
Moritz Wagner,22.3,0.649,26.8,1.0,1.0,2.0,0.174,2.6,1.4,4.0,0.9,36.88
Karl-Anthony Towns,23.4,0.63,27.4,6.3,3.8,10.1,0.193,3.5,0.1,3.6,3.5,36.88
Daniel Gafford,24.7,0.716,19.5,4.4,1.5,5.9,0.232,2.7,1.1,3.8,1.8,36.69
Jayson Tatum,21.7,0.582,31.2,5.3,4.2,9.5,0.174,4.4,0.8,5.2,4.8,36.45
Anthony Edwards,20.1,0.595,31.4,4.6,3.8,8.4,0.14,4.4,0.0,4.3,4.6,36.44
Jalen Brunson,21.6,0.605,29.5,6.8,1.4,8.3,0.172,4.7,-1.3,3.3,3.1,36.43
Cade Cunningham,20.6,0.565,33.2,3.0,2.9,5.9,0.115,3.8,0.1,3.9,3.7,36.41
LaMelo Ball,19.1,0.536,35.9,0.9,1.1,2.0,0.065,4.1,-0.9,3.2,2.0,36.17
Damian Lillard,21.3,0.621,27.8,5.6,2.0,7.6,0.175,4.7,-0.6,4.0,3.2,36.14
